Label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
3,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,8,male,bachelor,CA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
4,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,9,male,master,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
6,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,0,female,bachelor,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
4,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,1,male,bachelor,NJ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
3,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,2,female,master,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
10,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,3,female,master,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
7,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,4,female,bachelor,GA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
1,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,5,male,bachelor,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
5,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,6,female,bachelor,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
6,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,7,male,master,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
2,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,8,male,bachelor,GA,Mobile Software Engineer,Java/C#/Objective-C/Swift
7,2,female,bachelor,UT,Bootstrap/UX/CAM/XML/Python/,9,female,master,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
1,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,0,male,master,AZ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
9,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,1,male,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
1,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,2,female,bachelor,NJ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
9,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,3,female,master,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
10,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,4,male,bachelor,CA,Product Engineer,CAD/CAM
5,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,5,male,bachelor,CA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,6,male,bachelor,CA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
3,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,7,female,master,WA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,8,female,master,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
9,3,female,highschool,UT,C/Illustrator/NoSQL/Objective-C/AfterEffect/,9,male,master,NY,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
8,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,0,female,master,GA,Product Engineer,CAD/CAM
2,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,1,male,master,WA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,2,female,master,CA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
7,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,3,female,bachelor,TX,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
3,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,4,male,master,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
0,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,5,male,bachelor,TX,Product Engineer,CAD/CAM
2,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,6,female,bachelor,AZ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
3,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,7,male,bachelor,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
3,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,8,male,master,GA,Product Engineer,CAD/CAM
6,4,male,highschool,GA,React/SOAP/SOAP/Python/UX/,9,female,bachelor,NY,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,0,female,bachelor,NJ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
5,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,1,female,bachelor,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,2,male,bachelor,WA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
10,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,3,male,master,AZ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
6,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,4,male,master,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
1,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,5,male,master,TX,Mobile Software Engineer,Java/C#/Objective-C/Swift
7,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,6,male,bachelor,AZ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
9,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,7,female,bachelor,CA,Mobile Software Engineer,Java/C#/Objective-C/Swift
5,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,8,male,bachelor,NJ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
10,5,male,highschool,NY,Illustrator/Linux/Linux/C#/CSS/,9,female,master,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,0,male,master,NY,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
6,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,1,female,bachelor,AZ,Product Engineer,CAD/CAM
3,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,2,female,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
1,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,3,male,bachelor,GA,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
9,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,4,female,bachelor,NJ,Product Engineer,CAD/CAM
3,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,5,male,bachelor,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
7,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,6,male,bachelor,WA,Mobile Software Engineer,Java/C#/Objective-C/Swift
8,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,7,male,bachelor,CA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
1,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,8,male,master,WA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
1,6,female,highschool,AZ,IaaS/Swift/Python/AfterEffect/NoSQL/,9,female,bachelor,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
9,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,0,male,master,NJ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
2,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,1,female,master,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,2,male,master,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
3,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,3,female,master,NY,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
6,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,4,female,master,NY,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
1,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,5,male,master,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
6,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,6,male,bachelor,NY,Mobile Software Engineer,Java/C#/Objective-C/Swift
3,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,7,male,bachelor,CA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
9,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,8,female,bachelor,AZ,Product Engineer,CAD/CAM
10,7,male,highschool,NY,Operating System/UX/RESTful APIs/XML/IP/,9,female,master,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
8,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,0,male,master,UT,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
2,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,1,female,bachelor,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
9,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,2,male,bachelor,CA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
5,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,3,male,bachelor,NJ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
9,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,4,male,master,NY,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
8,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,5,male,master,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
8,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,6,female,bachelor,WA,Mobile Software Engineer,Java/C#/Objective-C/Swift
0,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,7,male,master,CA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
3,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,8,male,master,WA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
0,8,male,highschool,NJ,SOAP/Ruby/IaaS/SQL/NoSQL/,9,female,master,NJ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
9,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,0,male,bachelor,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
10,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,1,female,bachelor,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
6,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,2,female,master,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,3,female,master,NJ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
3,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,4,female,master,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
10,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,5,female,bachelor,UT,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
0,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,6,female,master,TX,Product Engineer,CAD/CAM
5,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,7,female,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
2,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,8,female,bachelor,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
5,9,female,highschool,NY,Wireframing/Bootstrap/RFP/IaaS/C/,9,male,master,GA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
5,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,0,male,bachelor,WA,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
5,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,1,male,bachelor,NY,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
2,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,2,male,bachelor,AZ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
2,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,3,female,master,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
1,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,4,female,bachelor,WA,Mobile Software Engineer,Java/C#/Objective-C/Swift
0,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,5,male,master,TX,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
5,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,6,female,master,TX,Mobile Software Engineer,Java/C#/Objective-C/Swift
8,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,7,male,master,CA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
10,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,8,male,bachelor,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
6,10,male,highschool,AZ,NoSQL/Javascript/jQuery/Flask/jQuery/,9,male,bachelor,TX,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
0,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,0,female,master,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
9,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,1,male,bachelor,AZ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
0,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,2,male,bachelor,GA,Mobile Software Engineer,Java/C#/Objective-C/Swift
2,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,3,male,bachelor,UT,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
3,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,4,male,bachelor,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
3,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,5,male,master,CA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
1,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,6,female,master,WA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
6,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,7,male,master,WA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
8,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,8,female,master,TX,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
10,11,female,bachelor,WA,SOAP/Javascript/Linux/SOAP/Perl/,9,male,master,WA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,0,female,bachelor,UT,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,1,female,master,UT,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
8,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,2,male,bachelor,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
5,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,3,male,bachelor,CA,Mobile Software Engineer,Java/C#/Objective-C/Swift
7,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,4,female,master,UT,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
5,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,5,female,bachelor,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
8,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,6,female,master,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
9,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,7,male,master,NJ,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
6,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,8,female,master,CA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
0,12,female,highschool,WA,Python/Go/Angular/UI/Cloud/,9,male,master,TX,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
2,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,0,male,bachelor,NY,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
7,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,1,female,master,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,2,male,master,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
3,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,3,male,master,CA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
6,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,4,female,master,UT,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
2,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,5,male,master,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
0,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,6,male,master,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
2,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,7,male,bachelor,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
10,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,8,female,bachelor,UT,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
6,13,female,bachelor,AZ,CAM/Java/CAM/Operating System/IaaS/,9,female,bachelor,TX,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
6,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,0,male,bachelor,NJ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
3,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,1,female,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
3,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,2,male,bachelor,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
8,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,3,female,bachelor,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
5,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,4,male,master,CA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
6,14,female,highschool,GA,Photoshop/C/Operating System/Objective-C/NodeJS/,5,male,bachelor,AZ,Product Engineer,CAD/CAM
